2023-03-31 12:38:20.140 +02:00 [INF] ReadLine overridden with 'Microsoft.PowerShell.EditorServices.Services.PowerShell.Console.PsrlReadLine'
2023-03-31 12:38:22.361 +02:00 [WRN] No ConfigurationItems have been defined, configuration won't surface any configuration from the client!
2023-03-31 12:38:22.421 +02:00 [ERR] Could not resolve Script Analyzer settings path due to null or empty workspaceRootPath.
2023-03-31 12:38:23.205 +02:00 [INF] Unable to find PSSA settings file at 'PSScriptAnalyzerSettings.psd1'. Loading default rules.
2023-03-31 12:38:23.205 +02:00 [INF] PSScriptAnalyzer settings file not found. Falling back to default rules
2023-03-31 12:38:32.617 +02:00 [WRN] textDocument/codeAction skipping diagnostic with empty Code field: cSpell "tempd": Unknown word.
2023-03-31 12:38:34.506 +02:00 [WRN] textDocument/codeAction skipping diagnostic with empty Code field: cSpell "tempd": Unknown word.
2023-03-31 12:38:42.288 +02:00 [WRN] textDocument/codeAction skipping diagnostic with empty Code field: cSpell "tempp": Unknown word.
2023-03-31 12:38:45.108 +02:00 [WRN] textDocument/codeAction skipping diagnostic with empty Code field: cSpell "tempp": Unknown word.
2023-03-31 12:39:19.659 +02:00 [WRN] textDocument/codeAction skipping diagnostic with empty Code field: cSpell "tempp": Unknown word.
2023-03-31 12:39:19.659 +02:00 [WRN] textDocument/codeAction skipping diagnostic with empty Code field: cSpell "tempd": Unknown word.
2023-03-31 12:39:26.632 +02:00 [WRN] textDocument/codeAction skipping diagnostic with empty Code field: cSpell "tempp": Unknown word.
2023-03-31 12:39:26.632 +02:00 [WRN] textDocument/codeAction skipping diagnostic with empty Code field: cSpell "tempd": Unknown word.
2023-03-31 12:39:30.137 +02:00 [WRN] textDocument/codeAction skipping diagnostic with empty Code field: cSpell "tempp": Unknown word.
2023-03-31 12:39:30.137 +02:00 [WRN] textDocument/codeAction skipping diagnostic with empty Code field: cSpell "tempd": Unknown word.
2023-03-31 12:39:30.631 +02:00 [WRN] textDocument/codeAction skipping diagnostic with empty Code field: cSpell "tempp": Unknown word.
2023-03-31 12:39:30.631 +02:00 [WRN] textDocument/codeAction skipping diagnostic with empty Code field: cSpell "tempd": Unknown word.
2023-03-31 12:39:37.113 +02:00 [WRN] textDocument/codeAction skipping diagnostic with empty Code field: cSpell "tempp": Unknown word.
2023-03-31 12:39:37.114 +02:00 [WRN] textDocument/codeAction skipping diagnostic with empty Code field: cSpell "tempd": Unknown word.
2023-03-31 12:39:39.205 +02:00 [WRN] textDocument/codeAction skipping diagnostic with empty Code field: cSpell "tempp": Unknown word.
2023-03-31 12:39:39.205 +02:00 [WRN] textDocument/codeAction skipping diagnostic with empty Code field: cSpell "tempd": Unknown word.
